36232634,'Orwell Place',55.9435,-3.21991
36232635,'Dalry Place',55.9456,-3.21735
36232636,'West Maitland St',55.9468,-3.21609
36232637,'West Maitland St',55.947,-3.21578
36232638,'Haymarket Statio',55.9459,-3.21805
36232639,'Haymarket Statio',55.9459,-3.21759
36232642,'Coates Gardens',55.9459,-3.22159
36232643,'Osborne Terrace',55.9459,-3.22482
36232645,'Hampton Terrace',55.9458,-3.22818
36232646,'Kew Terrace',55.9456,-3.23023
36232647,'Murrayfield Aven',55.9459,-3.23624
36232648,'Ormidale Terrace',55.9456,-3.2415
36232649,'Riversdale Cresc',55.9452,-3.24535
36232652,'Ormidale Terrace',55.9457,-3.24035
36232653,'Roseburn Street',55.9458,-3.23515
36232654,'Hampton Terrace',55.9458,-3.22887
36232656,'Magdala Crescent',55.9461,-3.22292
36232657,'Rosebery Crescen',55.946,-3.21817
36232658,'Haymarket Statio',55.9456,-3.21718
36232659,'Haymarket',55.9453,-3.21717
36232672,'Caledonian Villa',55.9426,-3.22141
36232673,'Dalry Primary Sc',55.9414,-3.22313
36232674,'Murieston Cresce',55.9399,-3.22532
36232675,'Gorgie City Farm',55.9388,-3.22852
36232676,'Tynecastle',55.9379,-3.23221
36232678,'Gorgie',55.9373,-3.23467
36232679,'Gorgie Primary S',55.9364,-3.24026
36232682,'Balgreen Road',55.934,-3.24456
36232683,'Chesser House',55.9323,-3.24881
36232684,'Chesser Cottages',55.933,-3.2464
36232685,'Chesser Avenue',55.9307,-3.25386
36232686,'Saughton Mains',55.9283,-3.26539
36232687,'Stevenson Grove',55.9359,-3.24569
36232689,'Westfield Avenue',55.9374,-3.2433
36232692,'Caledonian Hotel',55.9492,-3.2069
36232695,'Buckingham Terra',55.9552,-3.21957
36232696,'Learmonth Terrac',55.9553,-3.21926
36232697,'Orchard Terrace',55.9549,-3.22437
36232698,'Queensferry Terr',55.955,-3.22605
36232723,'Queensferry Terr',55.9547,-3.22879
36232724,'Queensferry Terr',55.9548,-3.22917
36232725,'Queensferry Terr',55.9548,-3.23276
36232726,'Orchard Road Sou',55.9547,-3.23579
36232727,'Craigleith Drive',55.9553,-3.23904
36232728,'Craigleith Drive',55.9557,-3.24033
36232729,'Queensferry Road',55.9563,-3.24344
36232732,'Queensferry Road',55.9565,-3.24353
36232734,'St Columbas Chur',55.9584,-3.25211
36232735,'Whitehall Court',55.9608,-3.25588
36232736,'Drylaw Avenue',55.9608,-3.24931
36232737,'Groathill Road S',55.9613,-3.24482
36232738,'Telford Drive',55.9624,-3.24068
36232739,'Telford Gardens',55.964,-3.23866
36232742,'Telford Place',55.9669,-3.23784
36232743,'Ferry Road Drive',55.9679,-3.24188
36232745,'Drylaw Police St',55.9674,-3.24657
36232746,'Muirhouse Green',55.9662,-3.25573
